entitytype,authoritydoc,authoritydocconceptschemename
ADDRESS_TYPE.E55,ADDRESS_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
ARCHES_RESOURCE_CROSS-REFERENCE_RELATIONSHIP_TYPES.E55,ARCHES RESOURCE CROSS-REFERENCE RELATIONSHIP TYPES.E32.csv,SURVEY LA SOURCE DATA
BEGINNING_OF_EXISTENCE_TYPE.E55,BEGINNING_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
BODY_FEATURE.E55,BODY_FEATURE_AUTHORITY_DOCUMENT.csv, SURVEY LA SOURCE DATA
BODY_FEATURE_LEVEL2.E55,BODY_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.csv, SURVEY LA SOURCE DATA
COUNTRY.E55,COUNTRY_AUTHORITY_DOCUMENT.csv, SURVEY LA SOURCE DATA
END_OF_EXISTENCE_TYPE.E55,END_OF_EXISTENCE_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
SITE_FEATURE.E55,SITE_FEATURE_AUTHORITY_DOCUMENT.csv, SURVEY LA SOURCE DATA
GEOMETRY_QUALIFIER.E55,GEOMETRY_QUALIFIER_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
GRAVE_FEATURE.E55,GRAVE_FEATURE_AUTHORITY_DOCUMENT.csv,SURVER LA SOURCE DATA
GRAVE_FEATURE_LEVEL2.E55,GRAVE_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.csv,SURVER LA SOURCE DATA
GRAVE_MEASUREMENT_TYPE.E55,GRAVE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
HERITAGE_RESOURCE_TYPE.E55,HERITAGE_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
IDENTIFIER_TYPE.E55,IDENTIFIER_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
INFORMATION_CARRIER_FORMAT_TYPE.E55,INFORMATION_CARRIER_FORMAT_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
INFORMATION_RESOURCE_TYPE.E55,INFORMATION_RESOURCE_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
LANGUAGE.E55,LANGUAGE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
LOCATION_ACCURACY.E55,LOCATION_ACCURACY_DOCUMENT.csv,SURVEY LA SOURCE DATA
MATERIAL.E57,MATERIAL_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
NAME_TYPE.E55,NAME_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
OBJECT_FEATURE.E55,OBJECT_FEATURE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
OBJECT_FEATURE_LEVEL1.E55,OBJECT_FEATURE_LEVEL1_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
OBJECT_FEATURE_LEVEL2.E55,OBJECT_FEATURE_LEVEL2_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
OBJECT_MEASUREMENT_TYPE.E55,OBJECT_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
OBJECT_TYPE.E55,OBJECT_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
REGION.E55,REGION_AUTHORITY_DOCUMENT.csv, SURVEY LA SOURCE DATA
SITE_MEASUREMENT_TYPE.E55,SITE_MEASUREMENT_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
TITLE_TYPE.E55,TITLE_TYPE_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA
UNIT_OF_MEASUREMENT.E55,UNIT_OF_MEASUREMENT_AUTHORITY_DOCUMENT.csv,SURVEY LA SOURCE DATA

