conceptid,PrefLabel,AltLabels,ParentConceptid,ConceptType,Provider 
REG:0,,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:1,Friuli,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:2,Gorizia,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:3,Burgenland,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:4,Carinthia,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:5,Vorarlberg,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:6,Salzburg,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:7,Lower Austria,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:8,Styria,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:9,Tirol,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:10,Trieste,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:11,Vienna,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:12,Upper Austria,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:13,Istria,,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
REG:14,Kvarner (Gulf),,REGION_AUTHORITY_DOCUMENT.csv,Index,EH
